127.0.0.1 - - [24/Mar/2021:09:19:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:19:30 +0530] "GET /ToDo_List/ HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:19:30 +0530] "GET /ToDo_List/scripts/sign_in.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:19:30 +0530] "GET /ToDo_List/styles/sign_in.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:19:56 +0530] "GET /ToDo_List/scripts/myList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:19:56 +0530] "GET /ToDo_List/styles/myList.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:20:02 +0530] "POST /ToDo_List/signingin.do HTTP/1.1" 200 48068
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:28:02 +0530] "POST /ToDo_List/updatingTasks.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:28:15 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 48184
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:28:32 +0530] "POST /ToDo_List/updatingTasks.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:28:42 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 48370
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:53:20 +0530] "GET /ToDo_List/ HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:53:21 +0530] "GET /ToDo_List/ HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:53:21 +0530] "GET /ToDo_List/scripts/sign_in.js HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:53:21 +0530] "GET /ToDo_List/styles/sign_in.css HTTP/1.1" 200 2747
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:53:21 +0530] "GET /ToDo_List/resources/appIcon.png HTTP/1.1" 200 18754
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:53:22 +0530] "GET /ToDo_List/ HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:53:22 +0530] "GET /ToDo_List/styles/sign_in.css HTTP/1.1" 200 2747
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:53:22 +0530] "GET /ToDo_List/scripts/sign_in.js HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:53:22 +0530] "GET /ToDo_List/resources/appIcon.png HTTP/1.1" 200 18754
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:53:37 +0530] "POST /ToDo_List/signingin.do HTTP/1.1" 200 48800
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:55:40 +0530] "GET /ToDo_List/styles/myList.css HTTP/1.1" 200 10516
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:55:40 +0530] "GET /ToDo_List/scripts/myList.js HTTP/1.1" 200 8513
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:55:46 +0530] "POST /ToDo_List/signingin.do HTTP/1.1" 200 49344
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:55:46 +0530] "GET /ToDo_List/resources/appIcon.png HTTP/1.1" 200 18754
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:56:15 +0530] "GET /ToDo_List/styles/myList.css HTTP/1.1" 200 10516
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:56:15 +0530] "GET /ToDo_List/scripts/myList.js HTTP/1.1" 200 8513
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:56:20 +0530] "POST /ToDo_List/signingin.do HTTP/1.1" 200 49227
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:56:20 +0530] "GET /ToDo_List/resources/appIcon.png HTTP/1.1" 200 18754
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:56:35 +0530] "POST /ToDo_List/redirectSort.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:56:45 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49227
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:58:46 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 500 2562
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:58:46 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:58:49 +0530] "GET /ToDo_List/ HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:59:03 +0530] "POST /ToDo_List/signingin.do HTTP/1.1" 200 49227
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:59:13 +0530] "POST /ToDo_List/redirectSort.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:59:22 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49227
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:59:35 +0530] "POST /ToDo_List/redirectSort.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:09:59:45 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49227
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:02:50 +0530] "GET /ToDo_List/styles/myList.css HTTP/1.1" 200 10516
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:02:50 +0530] "GET /ToDo_List/scripts/myList.js HTTP/1.1" 200 8725
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:02:56 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49227
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:02:56 +0530] "GET /ToDo_List/resources/appIcon.png HTTP/1.1" 200 18754
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:05:11 +0530] "GET /ToDo_List/styles/myList.css HTTP/1.1" 200 10516
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:05:11 +0530] "GET /ToDo_List/scripts/myList.js HTTP/1.1" 200 8725
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:05:17 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49245
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:05:17 +0530] "GET /ToDo_List/resources/appIcon.png HTTP/1.1" 200 18754
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:06:41 +0530] "GET /ToDo_List/styles/myList.css HTTP/1.1" 200 10516
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:06:41 +0530] "GET /ToDo_List/scripts/myList.js HTTP/1.1" 200 8724
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:06:47 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49240
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:06:47 +0530] "GET /ToDo_List/resources/appIcon.png HTTP/1.1" 200 18754
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:12:07 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 500 2562
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:12:07 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:12:16 +0530] "GET /ToDo_List/ HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:12:25 +0530] "GET /ToDo_List/scripts/myList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:12:30 +0530] "POST /ToDo_List/signingin.do HTTP/1.1" 200 49240
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:12:53 +0530] "POST /ToDo_List/redirectSort.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:13:03 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49240
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:15:31 +0530] "GET /ToDo_List/styles/myList.css HTTP/1.1" 200 10516
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:15:31 +0530] "GET /ToDo_List/scripts/myList.js HTTP/1.1" 200 8724
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:15:37 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49240
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:15:37 +0530] "GET /ToDo_List/resources/appIcon.png HTTP/1.1" 200 18754
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:15:57 +0530] "POST /ToDo_List/redirectSort.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:16:07 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49240
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:23:20 +0530] "GET /ToDo_List/styles/myList.css HTTP/1.1" 200 10516
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:23:20 +0530] "GET /ToDo_List/scripts/myList.js HTTP/1.1" 200 8790
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:23:25 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49317
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:23:26 +0530] "GET /ToDo_List/resources/appIcon.png HTTP/1.1" 200 18754
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:23:45 +0530] "POST /ToDo_List/redirectSort.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:23:49 +0530] "GET /ToDo_List/scripts/myList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:23:54 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49317
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:24:13 +0530] "POST /ToDo_List/redirectSort.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:24:17 +0530] "GET /ToDo_List/scripts/myList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:24:22 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49317
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:26:20 +0530] "POST /ToDo_List/redirectPage.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:26:21 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:26:21 +0530] "GET /ToDo_List/sign_in.jsp HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:26:37 +0530] "GET /ToDo_List/scripts/myList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:10:26:43 +0530] "POST /ToDo_List/signingin.do HTTP/1.1" 200 49317
0:0:0:0:0:0:0:1 - - [24/Mar/2021:11:36:39 +0530] "GET /ToDo_List/styles/myList.css HTTP/1.1" 200 10516
0:0:0:0:0:0:0:1 - - [24/Mar/2021:11:36:39 +0530] "GET /ToDo_List/scripts/myList.js HTTP/1.1" 200 8790
0:0:0:0:0:0:0:1 - - [24/Mar/2021:11:36:45 +0530] "POST /ToDo_List/signingin.do HTTP/1.1" 200 49317
0:0:0:0:0:0:0:1 - - [24/Mar/2021:11:36:45 +0530] "GET /ToDo_List/resources/appIcon.png HTTP/1.1" 200 18754
0:0:0:0:0:0:0:1 - - [24/Mar/2021:11:37:01 +0530] "POST /ToDo_List/redirectSort.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:11:37:11 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49317
0:0:0:0:0:0:0:1 - - [24/Mar/2021:11:37:20 +0530] "POST /ToDo_List/redirectSort.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:11:37:29 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49317
0:0:0:0:0:0:0:1 - - [24/Mar/2021:11:42:37 +0530] "POST /ToDo_List/redirectPage.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:11:42:46 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49317
0:0:0:0:0:0:0:1 - - [24/Mar/2021:11:43:28 +0530] "POST /ToDo_List/redirectPage.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:11:43:38 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49317
0:0:0:0:0:0:0:1 - - [24/Mar/2021:12:22:20 +0530] "GET /ToDo_List/scripts/myList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:12:22:25 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49317
0:0:0:0:0:0:0:1 - - [24/Mar/2021:12:22:26 +0530] "GET /ToDo_List/resources/appIcon.png HTTP/1.1" 200 18754
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:39:21 +0530] "POST /ToDo_List/redirectPage.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:39:24 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 21398
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:39:24 +0530] "GET /ToDo_List/styles/myList.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:39:24 +0530] "GET /ToDo_List/scripts/myList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:39:43 +0530] "POST /ToDo_List/redirectSort.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:39:46 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 21398
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:39:52 +0530] "POST /ToDo_List/redirectPage.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:40:02 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49317
0:0:0:0:0:0:0:1 - - [24/Mar/2021:14:53:10 +0530] "GET /ToDo_List/styles/myList.css HTTP/1.1" 200 10516
0:0:0:0:0:0:0:1 - - [24/Mar/2021:14:53:10 +0530] "GET /ToDo_List/scripts/myList.js HTTP/1.1" 200 8790
0:0:0:0:0:0:0:1 - - [24/Mar/2021:14:53:16 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49317
0:0:0:0:0:0:0:1 - - [24/Mar/2021:14:53:16 +0530] "GET /ToDo_List/resources/appIcon.png HTTP/1.1" 200 18754
0:0:0:0:0:0:0:1 - - [24/Mar/2021:16:02:09 +0530] "GET /ToDo_List/sign_in.jsp HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [24/Mar/2021:16:02:12 +0530] "GET /ToDo_List/+ HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [24/Mar/2021:16:02:12 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Mar/2021:16:02:14 +0530] "GET /ToDo_List/ HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [24/Mar/2021:16:02:52 +0530] "GET /ToDo_List/scripts/myList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:16:02:58 +0530] "POST /ToDo_List/signingin.do HTTP/1.1" 200 49317
0:0:0:0:0:0:0:1 - - [24/Mar/2021:16:09:36 +0530] "POST /ToDo_List/redirectSort.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:16:09:46 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49317
0:0:0:0:0:0:0:1 - - [24/Mar/2021:16:10:52 +0530] "POST /ToDo_List/updatingTasks.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:16:11:02 +0530] "GET /ToDo_List/UserTaskList.jsp HTTP/1.1" 200 49955
